Instante de Tempo   ,Fila de pedidos                                   ,Em produção         ,Prontos                                           
153                 ,64546 54613 41859 89208 93084 31761 51429 64885   ,42129               ,26827 29795 49812 53922 82728 94493               
154                 ,64546 54613 41859 89208 93084 31761 51429 64885   ,42129               ,26827 29795 49812 53922 82728 94493               
155                 ,64546 54613 41859 89208 93084 31761 51429 64885   ,42129               ,26827 29795 49812 53922 82728 94493               
156                 ,64546 54613 41859 89208 93084 31761 51429 64885   ,42129               ,26827 29795 49812 53922 82728 94493               
157                 ,64546 54613 41859 89208 93084 31761 51429 64885   ,42129               ,26827 29795 49812 53922 82728 94493               
158                 ,64546 54613 41859 89208 93084 31761 51429 64885   ,42129               ,26827 29795 49812 53922 82728 94493               
159                 ,64546 54613 41859 89208 93084 31761 51429 64885   ,42129               ,26827 29795 49812 53922 82728 94493               
160                 ,54613 41859 89208 93084 31761 51429 64885         ,64546               ,26827 29795 42129 49812 53922 82728 94493         
161                 ,54613 41859 89208 93084 31761 51429 64885         ,64546               ,26827 29795 42129 49812 53922 82728 94493         
162                 ,54613 41859 89208 93084 31761 51429 64885         ,64546               ,26827 29795 42129 49812 53922 82728 94493         
163                 ,54613 41859 89208 93084 31761 51429 64885         ,64546               ,26827 29795 42129 49812 53922 82728 94493         
164                 ,54613 41859 89208 93084 31761 51429 64885         ,64546               ,26827 29795 42129 49812 53922 82728 94493         
165                 ,54613 41859 89208 93084 31761 51429 64885         ,64546               ,26827 29795 42129 49812 53922 82728 94493         
166                 ,54613 41859 89208 93084 31761 51429 64885         ,64546               ,26827 29795 42129 49812 53922 82728 94493         
167                 ,54613 41859 89208 93084 31761 51429 64885         ,64546               ,26827 29795 42129 49812 53922 82728 94493         
168                 ,54613 41859 89208 93084 31761 51429 64885         ,64546               ,26827 29795 42129 49812 53922 82728 94493         
169                 ,54613 41859 89208 93084 31761 51429 64885         ,64546               ,26827 29795 42129 49812 53922 82728 94493         
170                 ,54613 41859 89208 93084 31761 51429 64885         ,64546               ,26827 29795 42129 49812 53922 82728 94493         
171                 ,54613 41859 89208 93084 31761 51429 64885         ,64546               ,26827 29795 42129 49812 53922 82728 94493         
